companyLabel,executiveLabel,universityLabel,degreeLabel
Kodak,Jeff Clarke,Northeastern University,
The Walt Disney Company,Walt Disney,McKinley High School,
Example,Andy El-Bayeh,National Institute of Dramatic Art,
Repsol,Q953601,University of the Basque Country,
The Walt Disney Company,Bob Iger,Ithaca College,
Chevron Corporation,Mike Wirth,University of Colorado Boulder,
Data for Progress,Sean McElwee,The King's College,
The Walt Disney Company,Walt Disney,Kansas City Art Institute,
Nama Ventures,Mohammed Alzubi,London Business School,
Repsol,Q953601,University of Deusto,
IDEO,Sandy Speicher,Stanford University,
Nama Ventures,Mohammed Alzubi,Brigham Young University,
VodafoneZiggo,Jeroen Hoencamp,Nyenrode Business University,
Hill & Knowlton,Jack Martin,Texas State University,
Miko,Chris Van Doorslaer,Ghent University,
3,Canning Fok,University of Hong Kong,
Deutsche Telekom,Timotheus Höttges,University of Cologne,
The Walt Disney Company,Bob Chapek,Clark High School,
The Walt Disney Company,Bob Chapek,Eli Broad College of Business,
Q136513290,Loic Didelot,Sainte-Sophie Luxembourg,
Sony Music,Rob Stringer,Aylesbury Grammar School,
Example,Andy El-Bayeh,University of Sydney,
The Walt Disney Company,Bob Iger,Oceanside High School,
The Walt Disney Company,Bob Iger,Roy H. Park School of Communications,
Rosewood Hotel Group,Sonia Cheng,St. Paul's Co-educational College,
The Walt Disney Company,Bob Iger,The Center for Early Education,
Atlantic Records Group,Craig Kallman,Trinity School,
Universal Music Group,Lucian Grainge,"Queen Elizabeth's School, Barnet",
Miko,Chris Van Doorslaer,Royal Military Academy,
Mixvoip,Loic Didelot,Sainte-Sophie Luxembourg,
Orange Egypt,Jean-Marc Harion,Université libre de Bruxelles,
Q136513290,Loic Didelot,ICHEC Brussels Management School,
SS production,Aysel Rajabli,Baku State University,
Brunswick Group,Henry Timms,Durham University,
Major League Soccer,Don Garber,State University of New York at Oneonta,
BT Group,Allison Kirkby,Glasgow Caledonian University,
Magyar Telekom,Tibor Rékasi,College of Management and Business Studies,
VEON,Kaan Terzioğlu,Boğaziçi University,
ExxonMobil,Darren Woods,Texas A&M University,
ENet,Vishok Persaud,"Queen's College, Guyana",
Mixvoip,Loic Didelot,ICHEC Brussels Management School,
Hewlett-Packard,Enrique Lores,Technical University of Valencia,
Miko,Chris Van Doorslaer,Flanders Business School,
Accor,Sébastien Bazin,University of Paris,
Ogilvy,Devika Bulchandani,University of Southern California,
ExxonMobil,Darren Woods,Kellogg School of Management,
The Walt Disney Company,Raymond Watson,"University of California, Berkeley",
Lohkast,James Ongige,Kenya Institute of Mass Communication,
Meliá Hotels International,Gabriel Escarrer Jaume,University of Pennsylvania,
Wind Telecomunicazioni,Maximo Ibarra,Sapienza University of Rome,
Creand,Xavier Cornella Castel,University of Barcelona,
T-Mobile US,Mike Sievert,The Wharton School,
The Objective Media,Paula Quinteros,Andrés Bello Catholic University,
3,Canning Fok,College of Saint Benedict and Saint John's University,
comcepta GmbH,Sabine Ringlstetter,University of Regensburg,Doctor of Philosophy
Proximus,Guillaume Boutin,HEC Paris,
Hewlett-Packard,Enrique Lores,ESADE Business School,
Atlantic Records Group,Craig Kallman,Brown University,
BT Group,Allison Kirkby,Chartered Institute of Management Accountants,
IDEO,Sandy Speicher,Washington University in St. Louis,
Feinkost Käfer,Michael Käfer,Munich University of Applied Sciences,
Wind Tre,Gianluca Corti,marketing management,
Meliá Hotels International,Gabriel Escarrer Jaume,ESADE Business School,
Jang Media Group,Mir Shakil-ur-Rahman,"St Patrick's High School, Karachi",
Proximus,Guillaume Boutin,Telecom SudParis,
The Walt Disney Company,Josh D'Amaro,Georgetown University,
Hewlett-Packard,Enrique Lores,ESADE,
The Harris Poll,John Gerzema,Northwestern University,master's degree
The Harris Poll,John Gerzema,Ohio State University,master's degree
Creand,Xavier Cornella Castel,IESE Business School,
Meliá Hotels International,Gabriel Escarrer Jaume,ESADE,
